,id,snapshot.id,snapshot.name,sourceLocation.id,sourceLocation.name,sourceLocation.type,destinationLocation.id,destinationLocation.name,destinationLocation.type,count
5,95813,19,11/2019,51,Beroun,ORP,51,Beroun,ORP,22840
9,13576,19,11/2019,27,Benešov,ORP,27,Benešov,ORP,21238
10,79153,19,11/2019,1295,Blansko,ORP,1295,Blansko,ORP,20403
11,85910,19,11/2019,1309,Boskovice,ORP,1309,Boskovice,ORP,18566
17,80205,19,11/2019,1783,Bohumín,ORP,1783,Bohumín,ORP,10516
21,94837,19,11/2019,906,Bílina,ORP,906,Bílina,ORP,8790
22,80793,19,11/2019,1830,Bílovec,ORP,1830,Bílovec,ORP,8647
23,11409,19,11/2019,507,Aš,ORP,507,Aš,ORP,8246
27,73925,19,11/2019,51,Beroun,ORP,19,Praha,ORP,5911
30,47506,19,11/2019,434,Blatná,ORP,434,Blatná,ORP,5166
31,44574,19,11/2019,27,Benešov,ORP,19,Praha,ORP,4868
35,36518,19,11/2019,1295,Blansko,ORP,1317,Brno,ORP,4248
38,19241,19,11/2019,1783,Bohumín,ORP,1961,Ostrava,ORP,3922
39,93271,19,11/2019,591,Blovice,ORP,591,Blovice,ORP,3777
40,89755,19,11/2019,1309,Boskovice,ORP,1295,Blansko,ORP,3554
41,15623,19,11/2019,1830,Bílovec,ORP,1961,Ostrava,ORP,2090
43,30379,19,11/2019,906,Bílina,ORP,914,Teplice,ORP,1926
45,95388,19,11/2019,27,Benešov,ORP,221,Říčany,ORP,1664
46,84335,19,11/2019,1295,Blansko,ORP,1309,Boskovice,ORP,1630
47,37924,19,11/2019,1309,Boskovice,ORP,1317,Brno,ORP,1426
50,251,19,11/2019,591,Blovice,ORP,582,Plzeň,ORP,1197
51,58298,19,11/2019,1783,Bohumín,ORP,1805,Karviná,ORP,1128
53,60699,19,11/2019,51,Beroun,ORP,60,Hořovice,ORP,923
55,34362,19,11/2019,51,Beroun,ORP,230,Černošice,ORP,852
58,21862,19,11/2019,507,Aš,ORP,515,Cheb,ORP,798
59,22255,19,11/2019,1295,Blansko,ORP,1333,Kuřim,ORP,652
60,91851,19,11/2019,1830,Bílovec,ORP,1864,Nový Jičín,ORP,561
61,2464,19,11/2019,1309,Boskovice,ORP,1171,Moravská Třebová,ORP,534
63,81505,19,11/2019,27,Benešov,ORP,230,Černošice,ORP,482
64,33422,19,11/2019,1830,Bílovec,ORP,1856,Kopřivnice,ORP,455
67,78648,19,11/2019,434,Blatná,ORP,442,Strakonice,ORP,410
68,11456,19,11/2019,51,Beroun,ORP,78,Kladno,ORP,407
70,87109,19,11/2019,1830,Bílovec,ORP,1945,Opava,ORP,371
72,90266,19,11/2019,434,Blatná,ORP,400,Písek,ORP,360
76,67322,19,11/2019,27,Benešov,ORP,43,Votice,ORP,340
77,88031,19,11/2019,27,Benešov,ORP,35,Vlašim,ORP,326
80,47549,19,11/2019,1783,Bohumín,ORP,1791,Havířov,ORP,277
81,1838,19,11/2019,906,Bílina,ORP,892,Most,ORP,259
82,68417,19,11/2019,1783,Bohumín,ORP,1813,Orlová,ORP,250
83,63342,19,11/2019,591,Blovice,ORP,655,Rokycany,ORP,242
86,11004,19,11/2019,1830,Bílovec,ORP,1872,Odry,ORP,236
88,20000,19,11/2019,1309,Boskovice,ORP,1333,Kuřim,ORP,202
91,90406,19,11/2019,591,Blovice,ORP,604,Nepomuk,ORP,198
94,71858,19,11/2019,591,Blovice,ORP,256,Příbram,ORP,177
95,60593,19,11/2019,1295,Blansko,ORP,1368,Šlapanice,ORP,176
96,24216,19,11/2019,1309,Boskovice,ORP,1554,Konice,ORP,175
97,33943,19,11/2019,27,Benešov,ORP,264,Sedlčany,ORP,172
100,10584,19,11/2019,1309,Boskovice,ORP,1198,Svitavy,ORP,162
102,70353,19,11/2019,906,Bílina,ORP,922,Ústí nad Labem,ORP,162
103,56830,19,11/2019,1295,Blansko,ORP,1350,Tišnov,ORP,161
104,57931,19,11/2019,1783,Bohumín,ORP,1741,Frýdek-Místek,ORP,158
105,310,19,11/2019,1783,Bohumín,ORP,1929,Hlučín,ORP,156
106,32156,19,11/2019,1309,Boskovice,ORP,1678,Bystřice nad Pernštejnem,ORP,154
107,16377,19,11/2019,434,Blatná,ORP,19,Praha,ORP,146
111,40621,19,11/2019,434,Blatná,ORP,558,Horažďovice,ORP,128
113,31879,19,11/2019,27,Benešov,ORP,248,Dobříš,ORP,127
115,16379,19,11/2019,1295,Blansko,ORP,1643,Vyškov,ORP,126
116,52701,19,11/2019,906,Bílina,ORP,884,Litvínov,ORP,122
118,26202,19,11/2019,1309,Boskovice,ORP,1180,Polička,ORP,120
122,9326,19,11/2019,434,Blatná,ORP,582,Plzeň,ORP,113
123,65560,19,11/2019,434,Blatná,ORP,256,Příbram,ORP,111
126,47067,19,11/2019,1309,Boskovice,ORP,1562,Prostějov,ORP,110
127,84454,19,11/2019,591,Blovice,ORP,612,Přeštice,ORP,107
132,5554,19,11/2019,591,Blovice,ORP,19,Praha,ORP,92
135,44863,19,11/2019,1295,Blansko,ORP,1562,Prostějov,ORP,89
136,34566,19,11/2019,27,Benešov,ORP,94,Kolín,ORP,87
137,29187,19,11/2019,51,Beroun,ORP,221,Říčany,ORP,83
140,65953,19,11/2019,51,Beroun,ORP,272,Rakovník,ORP,78
142,82492,19,11/2019,1295,Blansko,ORP,19,Praha,ORP,75
144,77294,19,11/2019,434,Blatná,ORP,604,Nepomuk,ORP,75
146,87030,19,11/2019,1309,Boskovice,ORP,19,Praha,ORP,74
148,53207,19,11/2019,906,Bílina,ORP,752,Chomutov,ORP,74
151,64963,19,11/2019,27,Benešov,ORP,116,Kutná Hora,ORP,73
154,75030,19,11/2019,906,Bílina,ORP,19,Praha,ORP,72
155,36021,19,11/2019,51,Beroun,ORP,655,Rokycany,ORP,72
160,9959,19,11/2019,1783,Bohumín,ORP,19,Praha,ORP,69
161,77398,19,11/2019,51,Beroun,ORP,582,Plzeň,ORP,69
164,24826,19,11/2019,27,Benešov,ORP,477,Tábor,ORP,67
165,70577,19,11/2019,1830,Bílovec,ORP,1741,Frýdek-Místek,ORP,67
170,51040,19,11/2019,1830,Bílovec,ORP,1848,Frenštát pod Radhoštěm,ORP,65
171,82478,19,11/2019,1783,Bohumín,ORP,1821,Český Těšín,ORP,63
172,37207,19,11/2019,906,Bílina,ORP,825,Litoměřice,ORP,62
173,62170,19,11/2019,1309,Boskovice,ORP,1368,Šlapanice,ORP,61
174,24423,19,11/2019,591,Blovice,ORP,566,Klatovy,ORP,59
175,52832,19,11/2019,1830,Bílovec,ORP,1317,Brno,ORP,59
177,64412,19,11/2019,1309,Boskovice,ORP,1350,Tišnov,ORP,59
181,4013,19,11/2019,434,Blatná,ORP,302,České Budějovice,ORP,56
183,83558,19,11/2019,51,Beroun,ORP,248,Dobříš,ORP,55
185,75289,19,11/2019,27,Benešov,ORP,256,Příbram,ORP,55
186,77225,19,11/2019,1783,Bohumín,ORP,1775,Třinec,ORP,53
188,94890,19,11/2019,507,Aš,ORP,531,Karlovy Vary,ORP,49
192,69641,19,11/2019,906,Bílina,ORP,850,Louny,ORP,46
193,75051,19,11/2019,1783,Bohumín,ORP,1945,Opava,ORP,45
194,15240,19,11/2019,1295,Blansko,ORP,1198,Svitavy,ORP,44
195,21979,19,11/2019,1830,Bílovec,ORP,19,Praha,ORP,44
198,28113,19,11/2019,27,Benešov,ORP,51,Beroun,ORP,43
199,56198,19,11/2019,27,Benešov,ORP,78,Kladno,ORP,42
200,90366,19,11/2019,591,Blovice,ORP,621,Stod,ORP,42
202,42992,19,11/2019,51,Beroun,ORP,256,Příbram,ORP,42
205,70697,19,11/2019,27,Benešov,ORP,213,Brandýs nad Labem-Stará Boleslav,ORP,39
206,61939,19,11/2019,906,Bílina,ORP,833,Lovosice,ORP,39
208,5111,19,11/2019,51,Beroun,ORP,213,Brandýs nad Labem-Stará Boleslav,ORP,38
209,48107,19,11/2019,1783,Bohumín,ORP,1856,Kopřivnice,ORP,38
212,31474,19,11/2019,1830,Bílovec,ORP,1791,Havířov,ORP,34
213,89076,19,11/2019,1295,Blansko,ORP,1341,Rosice,ORP,34
216,50799,19,11/2019,1830,Bílovec,ORP,1937,Kravaře,ORP,33
217,51902,19,11/2019,1830,Bílovec,ORP,1805,Karviná,ORP,33
221,23955,19,11/2019,1309,Boskovice,ORP,1694,Velké Meziříčí,ORP,32
222,43951,19,11/2019,1309,Boskovice,ORP,1473,Hodonín,ORP,32
224,59485,19,11/2019,1783,Bohumín,ORP,1317,Brno,ORP,32
226,5661,19,11/2019,1309,Boskovice,ORP,1503,Jihlava,ORP,31
227,20545,19,11/2019,1309,Boskovice,ORP,1899,Olomouc,ORP,31
231,9131,19,11/2019,906,Bílina,ORP,78,Kladno,ORP,30
232,8322,19,11/2019,1309,Boskovice,ORP,1236,Králíky,ORP,30
235,48092,19,11/2019,591,Blovice,ORP,558,Horažďovice,ORP,30
236,39295,19,11/2019,27,Benešov,ORP,108,Český Brod,ORP,29
240,74840,19,11/2019,27,Benešov,ORP,1317,Brno,ORP,28
241,56265,19,11/2019,1309,Boskovice,ORP,1325,Ivančice,ORP,27
242,90839,19,11/2019,1295,Blansko,ORP,1961,Ostrava,ORP,26
244,28235,19,11/2019,507,Aš,ORP,671,Sokolov,ORP,26
245,16239,19,11/2019,1830,Bílovec,ORP,1929,Hlučín,ORP,26
248,77666,19,11/2019,1295,Blansko,ORP,1384,Břeclav,ORP,25
249,81123,19,11/2019,51,Beroun,ORP,132,Kralupy nad Vltavou,ORP,25
250,90351,19,11/2019,1295,Blansko,ORP,1414,Pohořelice,ORP,25
251,94978,19,11/2019,1783,Bohumín,ORP,1899,Olomouc,ORP,25
254,31531,19,11/2019,507,Aš,ORP,19,Praha,ORP,25
257,42713,19,11/2019,507,Aš,ORP,582,Plzeň,ORP,24
259,19075,19,11/2019,1295,Blansko,ORP,1554,Konice,ORP,24
261,65476,19,11/2019,1830,Bílovec,ORP,1970,Hranice,ORP,24
262,666,19,11/2019,51,Beroun,ORP,400,Písek,ORP,23
263,52174,19,11/2019,1830,Bílovec,ORP,1716,Bruntál,ORP,23
264,2098,19,11/2019,1309,Boskovice,ORP,1279,Česká Třebová,ORP,22
265,3137,19,11/2019,1295,Blansko,ORP,1171,Moravská Třebová,ORP,22
267,37564,19,11/2019,51,Beroun,ORP,141,Mělník,ORP,22
268,33378,19,11/2019,27,Benešov,ORP,302,České Budějovice,ORP,22
271,84027,19,11/2019,1830,Bílovec,ORP,1899,Olomouc,ORP,21
272,64800,19,11/2019,1309,Boskovice,ORP,1449,Valašské Klobouky,ORP,21
273,43653,19,11/2019,1295,Blansko,ORP,1970,Hranice,ORP,21
274,77031,19,11/2019,591,Blovice,ORP,400,Písek,ORP,21
278,65736,19,11/2019,51,Beroun,ORP,27,Benešov,ORP,20
279,47652,19,11/2019,1295,Blansko,ORP,1473,Hodonín,ORP,20
282,63853,19,11/2019,51,Beroun,ORP,515,Cheb,ORP,19
286,43232,19,11/2019,51,Beroun,ORP,1317,Brno,ORP,19
288,94540,19,11/2019,51,Beroun,ORP,86,Slaný,ORP,18
291,29227,19,11/2019,1783,Bohumín,ORP,2038,Rožnov pod Radhoštěm,ORP,18
293,32423,19,11/2019,1830,Bílovec,ORP,1465,Zlín,ORP,18
294,82475,19,11/2019,434,Blatná,ORP,591,Blovice,ORP,18
295,80244,19,11/2019,51,Beroun,ORP,94,Kolín,ORP,17
296,11964,19,11/2019,1295,Blansko,ORP,1635,Slavkov u Brna,ORP,17
297,46557,19,11/2019,27,Benešov,ORP,582,Plzeň,ORP,17
298,264,19,11/2019,1295,Blansko,ORP,1503,Jihlava,ORP,17
299,22711,19,11/2019,1295,Blansko,ORP,1899,Olomouc,ORP,17
300,89387,19,11/2019,1783,Bohumín,ORP,1767,Jablunkov,ORP,17
306,27117,19,11/2019,1309,Boskovice,ORP,1392,Hustopeče,ORP,16
307,77697,19,11/2019,1309,Boskovice,ORP,1376,Židlochovice,ORP,16
308,34055,19,11/2019,1309,Boskovice,ORP,1422,Luhačovice,ORP,16
309,67239,19,11/2019,27,Benešov,ORP,817,Liberec,ORP,16
311,56722,19,11/2019,1309,Boskovice,ORP,1431,Otrokovice,ORP,16
313,60302,19,11/2019,434,Blatná,ORP,418,Prachatice,ORP,16
315,29928,19,11/2019,51,Beroun,ORP,1210,Trutnov,ORP,16
318,82930,19,11/2019,1309,Boskovice,ORP,1708,Žďár nad Sázavou,ORP,15
319,898,19,11/2019,51,Beroun,ORP,876,Žatec,ORP,15
323,66830,19,11/2019,1309,Boskovice,ORP,1465,Zlín,ORP,15
327,67546,19,11/2019,1309,Boskovice,ORP,1856,Kopřivnice,ORP,15
328,73912,19,11/2019,1309,Boskovice,ORP,1384,Břeclav,ORP,15
329,33981,19,11/2019,27,Benešov,ORP,132,Kralupy nad Vltavou,ORP,15
330,8700,19,11/2019,1309,Boskovice,ORP,1643,Vyškov,ORP,15
331,52178,19,11/2019,434,Blatná,ORP,230,Černošice,ORP,15
332,96389,19,11/2019,1309,Boskovice,ORP,1961,Ostrava,ORP,15
333,22036,19,11/2019,434,Blatná,ORP,485,Domažlice,ORP,15
334,17864,19,11/2019,1309,Boskovice,ORP,1406,Mikulov,ORP,15
335,44313,19,11/2019,1783,Bohumín,ORP,1759,Frýdlant nad Ostravicí,ORP,14
338,9616,19,11/2019,507,Aš,ORP,663,Kraslice,ORP,14
339,91465,19,11/2019,27,Benešov,ORP,957,Světlá nad Sázavou,ORP,14
340,65210,19,11/2019,1295,Blansko,ORP,2020,Šumperk,ORP,13
341,31150,19,11/2019,1830,Bílovec,ORP,965,Hradec Králové,ORP,13
344,40698,19,11/2019,1295,Blansko,ORP,311,Kaplice,ORP,13
346,24121,19,11/2019,1295,Blansko,ORP,1481,Kyjov,ORP,13
348,18753,19,11/2019,1295,Blansko,ORP,1694,Velké Meziříčí,ORP,13
352,70050,19,11/2019,1295,Blansko,ORP,27,Benešov,ORP,13
355,7020,19,11/2019,27,Benešov,ORP,60,Hořovice,ORP,12
356,77061,19,11/2019,1830,Bílovec,ORP,1783,Bohumín,ORP,12
358,33800,19,11/2019,1830,Bílovec,ORP,27,Benešov,ORP,12
362,71540,19,11/2019,51,Beroun,ORP,922,Ústí nad Labem,ORP,12
363,44610,19,11/2019,1830,Bílovec,ORP,884,Litvínov,ORP,12
367,42460,19,11/2019,27,Benešov,ORP,671,Sokolov,ORP,12
368,34383,19,11/2019,27,Benešov,ORP,329,Český Krumlov,ORP,12
372,61350,19,11/2019,51,Beroun,ORP,639,Kralovice,ORP,11
376,40169,19,11/2019,1309,Boskovice,ORP,1121,Rychnov nad Kněžnou,ORP,11
377,91087,19,11/2019,1830,Bílovec,ORP,1996,Přerov,ORP,11
378,25564,19,11/2019,1830,Bílovec,ORP,1732,Rýmařov,ORP,11
379,31035,19,11/2019,27,Benešov,ORP,485,Domažlice,ORP,11
380,2155,19,11/2019,1309,Boskovice,ORP,1147,Semily,ORP,11
381,83450,19,11/2019,906,Bílina,ORP,132,Kralupy nad Vltavou,ORP,11
382,12641,19,11/2019,507,Aš,ORP,540,Ostrov,ORP,10
386,11163,19,11/2019,51,Beroun,ORP,1694,Velké Meziříčí,ORP,10
387,51000,19,11/2019,434,Blatná,ORP,531,Karlovy Vary,ORP,10
388,15955,19,11/2019,507,Aš,ORP,884,Litvínov,ORP,10
389,46747,19,11/2019,51,Beroun,ORP,914,Teplice,ORP,10
394,32021,19,11/2019,27,Benešov,ORP,1961,Ostrava,ORP,10
396,69441,19,11/2019,27,Benešov,ORP,400,Písek,ORP,10
397,8074,19,11/2019,51,Beroun,ORP,621,Stod,ORP,10
400,66440,19,11/2019,434,Blatná,ORP,1317,Brno,ORP,10
401,57359,19,11/2019,51,Beroun,ORP,647,Nýřany,ORP,10
402,25773,19,11/2019,51,Beroun,ORP,710,Česká Lípa,ORP,10
404,2307,19,11/2019,51,Beroun,ORP,396,Milevsko,ORP,10
408,29410,19,11/2019,51,Beroun,ORP,981,Chrudim,ORP,10
414,13852,19,11/2019,1317,Brno,ORP,1317,Brno,ORP,175042
416,2898,19,11/2019,230,Černošice,ORP,230,Černošice,ORP,40690
420,77500,19,11/2019,213,Brandýs nad Labem-Stará Boleslav,ORP,213,Brandýs nad Labem-Stará Boleslav,ORP,32655
423,60533,19,11/2019,1384,Břeclav,ORP,1384,Břeclav,ORP,26051
424,55318,19,11/2019,230,Černošice,ORP,19,Praha,ORP,24528
430,1436,19,11/2019,213,Brandýs nad Labem-Stará Boleslav,ORP,19,Praha,ORP,17021
432,39420,19,11/2019,1716,Bruntál,ORP,1716,Bruntál,ORP,15643
435,95151,19,11/2019,124,Čáslav,ORP,124,Čáslav,ORP,9199
442,608,19,11/2019,1678,Bystřice nad Pernštejnem,ORP,1678,Bystřice nad Pernštejnem,ORP,6987
443,54981,19,11/2019,1031,Broumov,ORP,1031,Broumov,ORP,6879
447,3544,19,11/2019,1627,Bučovice,ORP,1627,Bučovice,ORP,4625
448,62332,19,11/2019,1520,Bystřice pod Hostýnem,ORP,1520,Bystřice pod Hostýnem,ORP,4566
