,id,snapshot.id,snapshot.name,sourceLocation.id,sourceLocation.name,sourceLocation.type,destinationLocation.id,destinationLocation.name,destinationLocation.type,count
5,1649,13,05/2019,51,Beroun,ORP,51,Beroun,ORP,23057
9,79379,13,05/2019,27,Benešov,ORP,27,Benešov,ORP,21473
10,13812,13,05/2019,1295,Blansko,ORP,1295,Blansko,ORP,20876
11,7207,13,05/2019,1309,Boskovice,ORP,1309,Boskovice,ORP,18464
17,12919,13,05/2019,1783,Bohumín,ORP,1783,Bohumín,ORP,10567
21,1513,13,05/2019,906,Bílina,ORP,906,Bílina,ORP,8704
22,15130,13,05/2019,1830,Bílovec,ORP,1830,Bílovec,ORP,8684
23,90716,13,05/2019,507,Aš,ORP,507,Aš,ORP,8323
28,22451,13,05/2019,51,Beroun,ORP,19,Praha,ORP,5490
30,53594,13,05/2019,27,Benešov,ORP,19,Praha,ORP,5146
33,50694,13,05/2019,434,Blatná,ORP,434,Blatná,ORP,5140
36,66000,13,05/2019,1295,Blansko,ORP,1317,Brno,ORP,3928
37,75719,13,05/2019,1783,Bohumín,ORP,1961,Ostrava,ORP,3806
39,5881,13,05/2019,591,Blovice,ORP,591,Blovice,ORP,3673
40,12362,13,05/2019,1309,Boskovice,ORP,1295,Blansko,ORP,3305
42,82801,13,05/2019,1830,Bílovec,ORP,1961,Ostrava,ORP,2191
43,51086,13,05/2019,906,Bílina,ORP,914,Teplice,ORP,2016
44,17589,13,05/2019,1295,Blansko,ORP,1309,Boskovice,ORP,1599
46,55555,13,05/2019,1309,Boskovice,ORP,1317,Brno,ORP,1455
48,1061,13,05/2019,27,Benešov,ORP,221,Říčany,ORP,1387
50,94547,13,05/2019,591,Blovice,ORP,582,Plzeň,ORP,1328
53,41973,13,05/2019,51,Beroun,ORP,60,Hořovice,ORP,1063
55,65006,13,05/2019,51,Beroun,ORP,230,Černošice,ORP,1033
56,41120,13,05/2019,1783,Bohumín,ORP,1805,Karviná,ORP,1022
58,72660,13,05/2019,507,Aš,ORP,515,Cheb,ORP,656
59,78252,13,05/2019,1309,Boskovice,ORP,1171,Moravská Třebová,ORP,642
60,73754,13,05/2019,1295,Blansko,ORP,1333,Kuřim,ORP,596
61,4446,13,05/2019,1830,Bílovec,ORP,1864,Nový Jičín,ORP,559
63,90665,13,05/2019,51,Beroun,ORP,78,Kladno,ORP,503
64,14388,13,05/2019,27,Benešov,ORP,230,Černošice,ORP,475
67,62952,13,05/2019,1830,Bílovec,ORP,1856,Kopřivnice,ORP,428
71,21029,13,05/2019,434,Blatná,ORP,442,Strakonice,ORP,382
72,50541,13,05/2019,1783,Bohumín,ORP,1791,Havířov,ORP,365
73,88320,13,05/2019,1309,Boskovice,ORP,1198,Svitavy,ORP,361
74,8194,13,05/2019,1830,Bílovec,ORP,1945,Opava,ORP,360
75,27510,13,05/2019,27,Benešov,ORP,43,Votice,ORP,356
76,11107,13,05/2019,434,Blatná,ORP,400,Písek,ORP,343
78,29389,13,05/2019,1783,Bohumín,ORP,1813,Orlová,ORP,339
81,10287,13,05/2019,27,Benešov,ORP,35,Vlašim,ORP,310
84,77477,13,05/2019,1309,Boskovice,ORP,1333,Kuřim,ORP,243
85,96139,13,05/2019,906,Bílina,ORP,892,Most,ORP,233
86,90189,13,05/2019,1830,Bílovec,ORP,1872,Odry,ORP,226
87,94474,13,05/2019,1783,Bohumín,ORP,1929,Hlučín,ORP,215
88,32284,13,05/2019,591,Blovice,ORP,655,Rokycany,ORP,214
90,41881,13,05/2019,1295,Blansko,ORP,1368,Šlapanice,ORP,212
93,81967,13,05/2019,1295,Blansko,ORP,1643,Vyškov,ORP,191
97,24310,13,05/2019,906,Bílina,ORP,922,Ústí nad Labem,ORP,180
100,81963,13,05/2019,434,Blatná,ORP,19,Praha,ORP,175
101,26010,13,05/2019,591,Blovice,ORP,256,Příbram,ORP,174
103,36066,13,05/2019,434,Blatná,ORP,256,Příbram,ORP,170
109,61434,13,05/2019,1309,Boskovice,ORP,1678,Bystřice nad Pernštejnem,ORP,159
110,61511,13,05/2019,27,Benešov,ORP,248,Dobříš,ORP,155
111,40787,13,05/2019,1783,Bohumín,ORP,1741,Frýdek-Místek,ORP,153
112,11523,13,05/2019,591,Blovice,ORP,604,Nepomuk,ORP,151
