,id,snapshot.id,snapshot.name,sourceLocation.id,sourceLocation.name,sourceLocation.type,destinationLocation.id,destinationLocation.name,destinationLocation.type,count
5,36428,5,09/2018,51,Beroun,ORP,51,Beroun,ORP,22874
9,68021,5,09/2018,27,Benešov,ORP,27,Benešov,ORP,21111
10,28138,5,09/2018,1295,Blansko,ORP,1295,Blansko,ORP,20588
11,25510,5,09/2018,1309,Boskovice,ORP,1309,Boskovice,ORP,17983
17,28632,5,09/2018,1783,Bohumín,ORP,1783,Bohumín,ORP,10513
21,30706,5,09/2018,906,Bílina,ORP,906,Bílina,ORP,8735
22,45800,5,09/2018,1830,Bílovec,ORP,1830,Bílovec,ORP,8695
23,52991,5,09/2018,507,Aš,ORP,507,Aš,ORP,8278
26,37775,5,09/2018,51,Beroun,ORP,19,Praha,ORP,5620
31,89538,5,09/2018,27,Benešov,ORP,19,Praha,ORP,5080
33,83283,5,09/2018,434,Blatná,ORP,434,Blatná,ORP,4984
34,77427,5,09/2018,1295,Blansko,ORP,1317,Brno,ORP,3968
37,63494,5,09/2018,1783,Bohumín,ORP,1961,Ostrava,ORP,3832
39,40475,5,09/2018,591,Blovice,ORP,591,Blovice,ORP,3696
40,25881,5,09/2018,1309,Boskovice,ORP,1295,Blansko,ORP,3586
42,69435,5,09/2018,1830,Bílovec,ORP,1961,Ostrava,ORP,2153
43,82605,5,09/2018,906,Bílina,ORP,914,Teplice,ORP,1892
44,29217,5,09/2018,1295,Blansko,ORP,1309,Boskovice,ORP,1596
46,31753,5,09/2018,27,Benešov,ORP,221,Říčany,ORP,1546
47,73612,5,09/2018,1309,Boskovice,ORP,1317,Brno,ORP,1493
50,62401,5,09/2018,591,Blovice,ORP,582,Plzeň,ORP,1323
53,5463,5,09/2018,1783,Bohumín,ORP,1805,Karviná,ORP,1078
55,77821,5,09/2018,51,Beroun,ORP,230,Černošice,ORP,1061
57,5134,5,09/2018,51,Beroun,ORP,60,Hořovice,ORP,912
