,id,snapshot.id,snapshot.name,sourceLocation.id,sourceLocation.name,sourceLocation.type,destinationLocation.id,destinationLocation.name,destinationLocation.type,count
5,2929,14,06/2019,51,Beroun,ORP,51,Beroun,ORP,23267
9,81650,14,06/2019,27,Benešov,ORP,27,Benešov,ORP,21598
10,14679,14,06/2019,1295,Blansko,ORP,1295,Blansko,ORP,21292
11,9298,14,06/2019,1309,Boskovice,ORP,1309,Boskovice,ORP,18516
16,15099,14,06/2019,1783,Bohumín,ORP,1783,Bohumín,ORP,10859
21,12951,14,06/2019,1830,Bílovec,ORP,1830,Bílovec,ORP,8882
22,397,14,06/2019,906,Bílina,ORP,906,Bílina,ORP,8749
23,88331,14,06/2019,507,Aš,ORP,507,Aš,ORP,8321
28,22006,14,06/2019,51,Beroun,ORP,19,Praha,ORP,5254
30,51019,14,06/2019,434,Blatná,ORP,434,Blatná,ORP,5181
33,53924,14,06/2019,27,Benešov,ORP,19,Praha,ORP,5017
35,4657,14,06/2019,591,Blovice,ORP,591,Blovice,ORP,3895
36,65193,14,06/2019,1295,Blansko,ORP,1317,Brno,ORP,3665
38,76801,14,06/2019,1783,Bohumín,ORP,1961,Ostrava,ORP,3596
40,9995,14,06/2019,1309,Boskovice,ORP,1295,Blansko,ORP,3219
42,83447,14,06/2019,1830,Bílovec,ORP,1961,Ostrava,ORP,2047
43,50670,14,06/2019,906,Bílina,ORP,914,Teplice,ORP,2008
44,16911,14,06/2019,1295,Blansko,ORP,1309,Boskovice,ORP,1508
46,618,14,06/2019,27,Benešov,ORP,221,Říčany,ORP,1366
48,57844,14,06/2019,1309,Boskovice,ORP,1317,Brno,ORP,1364
50,94967,14,06/2019,591,Blovice,ORP,582,Plzeň,ORP,1184
53,41102,14,06/2019,51,Beroun,ORP,60,Hořovice,ORP,1061
54,41981,14,06/2019,1783,Bohumín,ORP,1805,Karviná,ORP,1012
55,65785,14,06/2019,51,Beroun,ORP,230,Černošice,ORP,992
58,73722,14,06/2019,507,Aš,ORP,515,Cheb,ORP,628
59,95500,14,06/2019,1309,Boskovice,ORP,1171,Moravská Třebová,ORP,619
61,72596,14,06/2019,1295,Blansko,ORP,1333,Kuřim,ORP,528
62,88276,14,06/2019,51,Beroun,ORP,78,Kladno,ORP,522
63,3364,14,06/2019,1830,Bílovec,ORP,1864,Nový Jičín,ORP,516
66,13703,14,06/2019,27,Benešov,ORP,230,Černošice,ORP,432
69,90704,14,06/2019,1309,Boskovice,ORP,1198,Svitavy,ORP,415
70,62299,14,06/2019,1830,Bílovec,ORP,1856,Kopřivnice,ORP,398
71,7402,14,06/2019,1830,Bílovec,ORP,1945,Opava,ORP,381
74,29729,14,06/2019,1783,Bohumín,ORP,1813,Orlová,ORP,357
75,28576,14,06/2019,27,Benešov,ORP,43,Votice,ORP,350
76,20590,14,06/2019,434,Blatná,ORP,442,Strakonice,ORP,349
77,10235,14,06/2019,434,Blatná,ORP,400,Písek,ORP,342
80,50965,14,06/2019,1783,Bohumín,ORP,1791,Havířov,ORP,317
81,10974,14,06/2019,27,Benešov,ORP,35,Vlašim,ORP,294
84,96476,14,06/2019,906,Bílina,ORP,892,Most,ORP,251
86,31587,14,06/2019,591,Blovice,ORP,655,Rokycany,ORP,224
87,77891,14,06/2019,1309,Boskovice,ORP,1333,Kuřim,ORP,217
90,41199,14,06/2019,1295,Blansko,ORP,1368,Šlapanice,ORP,200
93,33852,14,06/2019,434,Blatná,ORP,256,Příbram,ORP,193
96,84119,14,06/2019,1295,Blansko,ORP,1643,Vyškov,ORP,184
97,88011,14,06/2019,1830,Bílovec,ORP,1872,Odry,ORP,181
99,94918,14,06/2019,1783,Bohumín,ORP,1929,Hlučín,ORP,174
100,27124,14,06/2019,591,Blovice,ORP,256,Příbram,ORP,174
102,41599,14,06/2019,1783,Bohumín,ORP,1741,Frýdek-Místek,ORP,174
103,49218,14,06/2019,1309,Boskovice,ORP,1562,Prostějov,ORP,172
106,84121,14,06/2019,434,Blatná,ORP,19,Praha,ORP,162
107,37465,14,06/2019,1295,Blansko,ORP,1350,Tišnov,ORP,158
110,60468,14,06/2019,434,Blatná,ORP,558,Horažďovice,ORP,147
111,65474,14,06/2019,27,Benešov,ORP,264,Sedlčany,ORP,147
112,25538,14,06/2019,906,Bílina,ORP,922,Ústí nad Labem,ORP,146
114,63829,14,06/2019,27,Benešov,ORP,248,Dobříš,ORP,144
116,10898,14,06/2019,591,Blovice,ORP,604,Nepomuk,ORP,139
117,63576,14,06/2019,1309,Boskovice,ORP,1678,Bystřice nad Pernštejnem,ORP,135
118,35848,14,06/2019,1309,Boskovice,ORP,1350,Tišnov,ORP,132
121,72352,14,06/2019,1309,Boskovice,ORP,1180,Polička,ORP,128
123,43161,14,06/2019,906,Bílina,ORP,884,Litvínov,ORP,122
124,74393,14,06/2019,1309,Boskovice,ORP,1554,Konice,ORP,119
127,92377,14,06/2019,591,Blovice,ORP,19,Praha,ORP,116
128,54820,14,06/2019,1295,Blansko,ORP,1562,Prostějov,ORP,114
129,66343,14,06/2019,27,Benešov,ORP,94,Kolín,ORP,112
130,7484,14,06/2019,1309,Boskovice,ORP,19,Praha,ORP,107
134,85866,14,06/2019,434,Blatná,ORP,582,Plzeň,ORP,106
136,18059,14,06/2019,1295,Blansko,ORP,19,Praha,ORP,100
140,57092,14,06/2019,906,Bílina,ORP,825,Litoměřice,ORP,97
142,78087,14,06/2019,1309,Boskovice,ORP,1899,Olomouc,ORP,94
144,34188,14,06/2019,51,Beroun,ORP,272,Rakovník,ORP,92
148,59098,14,06/2019,507,Aš,ORP,582,Plzeň,ORP,81
151,64251,14,06/2019,51,Beroun,ORP,655,Rokycany,ORP,79
156,16782,14,06/2019,591,Blovice,ORP,612,Přeštice,ORP,71
157,47486,14,06/2019,1830,Bílovec,ORP,1848,Frenštát pod Radhoštěm,ORP,65
158,29294,14,06/2019,906,Bílina,ORP,850,Louny,ORP,64
161,80064,14,06/2019,1295,Blansko,ORP,1198,Svitavy,ORP,61
162,36046,14,06/2019,27,Benešov,ORP,116,Kutná Hora,ORP,60
167,73597,14,06/2019,1830,Bílovec,ORP,19,Praha,ORP,59
168,20977,14,06/2019,434,Blatná,ORP,604,Nepomuk,ORP,58
170,49995,14,06/2019,1783,Bohumín,ORP,1856,Kopřivnice,ORP,57
171,25701,14,06/2019,1830,Bílovec,ORP,1741,Frýdek-Místek,ORP,57
173,84241,14,06/2019,1830,Bílovec,ORP,1929,Hlučín,ORP,57
174,33594,14,06/2019,1309,Boskovice,ORP,1368,Šlapanice,ORP,55
175,18073,14,06/2019,1783,Bohumín,ORP,1821,Český Těšín,ORP,55
177,85764,14,06/2019,1309,Boskovice,ORP,1643,Vyškov,ORP,53
178,69379,14,06/2019,51,Beroun,ORP,221,Říčany,ORP,52
183,23196,14,06/2019,906,Bílina,ORP,19,Praha,ORP,51
184,71079,14,06/2019,27,Benešov,ORP,477,Tábor,ORP,50
188,39645,14,06/2019,27,Benešov,ORP,78,Kladno,ORP,49
189,334,14,06/2019,507,Aš,ORP,531,Karlovy Vary,ORP,49
190,43973,14,06/2019,1830,Bílovec,ORP,1805,Karviná,ORP,48
191,63405,14,06/2019,507,Aš,ORP,19,Praha,ORP,47
194,16195,14,06/2019,51,Beroun,ORP,248,Dobříš,ORP,47
198,93609,14,06/2019,51,Beroun,ORP,213,Brandýs nad Labem-Stará Boleslav,ORP,46
199,21055,14,06/2019,1783,Bohumín,ORP,1775,Třinec,ORP,46
200,10936,14,06/2019,591,Blovice,ORP,621,Stod,ORP,45
201,52517,14,06/2019,51,Beroun,ORP,256,Příbram,ORP,44
204,21248,14,06/2019,51,Beroun,ORP,582,Plzeň,ORP,41
205,89799,14,06/2019,1783,Bohumín,ORP,19,Praha,ORP,41
211,23174,14,06/2019,1783,Bohumín,ORP,1945,Opava,ORP,40
212,24395,14,06/2019,27,Benešov,ORP,213,Brandýs nad Labem-Stará Boleslav,ORP,40
213,23707,14,06/2019,27,Benešov,ORP,256,Příbram,ORP,39
216,45271,14,06/2019,906,Bílina,ORP,752,Chomutov,ORP,37
221,18358,14,06/2019,1309,Boskovice,ORP,1708,Žďár nad Sázavou,ORP,34
222,34422,14,06/2019,51,Beroun,ORP,27,Benešov,ORP,34
223,240,14,06/2019,1783,Bohumín,ORP,1899,Olomouc,ORP,34
228,72947,14,06/2019,1295,Blansko,ORP,1899,Olomouc,ORP,32
229,96620,14,06/2019,1309,Boskovice,ORP,1279,Česká Třebová,ORP,32
230,33057,14,06/2019,906,Bílina,ORP,833,Lovosice,ORP,32
231,55795,14,06/2019,27,Benešov,ORP,108,Český Brod,ORP,32
232,22017,14,06/2019,1309,Boskovice,ORP,1384,Břeclav,ORP,31
233,21308,14,06/2019,1309,Boskovice,ORP,1376,Židlochovice,ORP,31
235,40101,14,06/2019,1783,Bohumín,ORP,1317,Brno,ORP,30
237,43404,14,06/2019,1830,Bílovec,ORP,1317,Brno,ORP,30
240,70665,14,06/2019,591,Blovice,ORP,566,Klatovy,ORP,30
244,65427,14,06/2019,27,Benešov,ORP,132,Kralupy nad Vltavou,ORP,28
245,1471,14,06/2019,51,Beroun,ORP,86,Slaný,ORP,28
247,53785,14,06/2019,1783,Bohumín,ORP,1759,Frýdlant nad Ostravicí,ORP,26
248,37173,14,06/2019,27,Benešov,ORP,1082,Pardubice,ORP,25
252,56490,14,06/2019,51,Beroun,ORP,531,Karlovy Vary,ORP,24
254,90784,14,06/2019,434,Blatná,ORP,302,České Budějovice,ORP,24
255,87868,14,06/2019,507,Aš,ORP,523,Mariánské Lázně,ORP,24
258,31911,14,06/2019,1783,Bohumín,ORP,1422,Luhačovice,ORP,23
259,13348,14,06/2019,51,Beroun,ORP,132,Kralupy nad Vltavou,ORP,22
260,66994,14,06/2019,27,Benešov,ORP,51,Beroun,ORP,22
261,12152,14,06/2019,1295,Blansko,ORP,1341,Rosice,ORP,22
262,86054,14,06/2019,906,Bílina,ORP,78,Kladno,ORP,22
263,16484,14,06/2019,1830,Bílovec,ORP,1899,Olomouc,ORP,21
266,68126,14,06/2019,591,Blovice,ORP,523,Mariánské Lázně,ORP,21
270,68216,14,06/2019,51,Beroun,ORP,418,Prachatice,ORP,21
271,28760,14,06/2019,1309,Boskovice,ORP,1856,Kopřivnice,ORP,20
273,9595,14,06/2019,1783,Bohumín,ORP,1767,Jablunkov,ORP,20
275,65346,14,06/2019,1309,Boskovice,ORP,1422,Luhačovice,ORP,20
276,47339,14,06/2019,1830,Bílovec,ORP,1937,Kravaře,ORP,20
277,10150,14,06/2019,1830,Bílovec,ORP,1953,Vítkov,ORP,20
278,93942,14,06/2019,51,Beroun,ORP,876,Žatec,ORP,20
280,23040,14,06/2019,27,Benešov,ORP,1317,Brno,ORP,20
284,51234,14,06/2019,1295,Blansko,ORP,1473,Hodonín,ORP,19
285,66861,14,06/2019,507,Aš,ORP,671,Sokolov,ORP,19
287,33934,14,06/2019,1830,Bílovec,ORP,1970,Hranice,ORP,18
288,1569,14,06/2019,1309,Boskovice,ORP,1961,Ostrava,ORP,18
290,59253,14,06/2019,591,Blovice,ORP,434,Blatná,ORP,17
292,7527,14,06/2019,434,Blatná,ORP,396,Milevsko,ORP,17
294,71865,14,06/2019,1309,Boskovice,ORP,1392,Hustopeče,ORP,16
295,36254,14,06/2019,1309,Boskovice,ORP,1449,Valašské Klobouky,ORP,16
297,50756,14,06/2019,1309,Boskovice,ORP,1970,Hranice,ORP,16
298,40796,14,06/2019,434,Blatná,ORP,418,Prachatice,ORP,16
