unit_code,name,total,male,female,average_age_total,average_age_males,average_age_females,id
4105,Mariánské Lázně,23928,11608,12320,44.1,42.3,45.8,523
2114,Mělník,44316,21896,22420,41.7,40.3,43.1,141
6211,Mikulov,20130,9908,10222,42.3,40.9,43.7,1406
3107,Milevsko,18187,9010,9177,45,43.6,46.4,396
2115,Mladá Boleslav,111466,56432,55034,41.5,40.3,42.7,167
2116,Mnichovo Hradiště,17670,8796,8874,41.8,40.4,43.1,175
7106,Mohelnice,18291,9139,9152,42.8,41.1,44.4,2003
5308,Moravská Třebová,26267,13112,13155,42.8,41.3,44.3,1171
6106,Moravské Budějovice,23122,11575,11547,43.2,41.8,44.6,1571
6212,Moravský Krumlov,22369,11165,11204,42.8,41.7,44,1651
4209,Most,74835,37079,37756,41.7,40.2,43.2,892
5209,Náchod,60674,29753,30921,43.4,41.8,44.9,1066
6107,Náměšť nad Oslavou,13453,6747,6706,43.4,41.9,44.9,1589
3207,Nepomuk,11563,6036,5527,44.1,43.3,45.1,604
2117,Neratovice,32035,15817,16218,41.1,39.9,42.4,159
5210,Nová Paka,13281,6566,6715,43.6,42.2,45.1,1023
6108,Nové Město na Moravě,19401,9681,9720,42.5,41.5,43.6,1686
5211,Nové Město nad Metují,14240,7006,7234,43.7,42.2,45.3,1058
5106,Nový Bor,26297,12961,13336,43.1,41.7,44.4,701
5212,Nový Bydžov,17409,8629,8780,43.2,41.7,44.6,973
8115,Nový Jičín,48907,23895,25012,41.8,40.4,43.1,1864
2118,Nymburk,39949,19608,20341,42.4,41,43.7,191
3208,Nýřany,56935,28466,28469,41.3,40.4,42.3,647
8116,Odry,16881,8365,8516,42,40.8,43.2,1872
7107,Olomouc,164535,79481,85054,42.1,40.5,43.6,1899
8117,Opava,101006,49248,51758,42.6,41,44.2,1945
8118,Orlová,37255,18268,18987,42.2,40.8,43.6,1813
8119,Ostrava,321273,156181,165092,42.7,41,44.4,1961
4106,Ostrov,27848,13854,13994,42.8,41.6,44,540
7205,Otrokovice,34292,16885,17407,43.5,41.7,45.3,1431
6109,Pacov,9430,4711,4719,44.8,43.4,46.3,370
5309,Pardubice,130048,64230,65818,42.5,41,44.1,1082
6110,Pelhřimov,45064,22420,22644,43.5,42.2,44.8,388
3108,Písek,53121,26184,26937,43,41.6,44.4,400
3209,Plzeň,191599,93359,98240,43,41.6,44.3,582
4210,Podbořany,15668,7804,7864,42.3,41.1,43.5,868
2119,Poděbrady,31095,15237,15858,43.3,41.9,44.7,205
6213,Pohořelice,14358,7156,7202,41,39.9,42.1,1414
5310,Polička,19574,9703,9871,42.2,40.7,43.6,1180
3109,Prachatice,33457,16807,16650,42.1,40.9,43.4,418
554782,Praha,1308632,638009,670623,41.9,40.5,43.3,19
5311,Přelouč,25527,12814,12713,42.8,41.6,44,1091
7109,Přerov,80617,39505,41112,43.8,42,45.5,1996
3210,Přeštice,22586,11358,11228,42.4,41.5,43.4,612
2120,Příbram,69944,34380,35564,43.1,41.6,44.6,256
7108,Prostějov,97920,47593,50327,42.7,41.1,44.2,1562
2121,Rakovník,55565,27582,27983,42.8,41.4,44.2,272
2122,Říčany,70046,34478,35568,39,38.1,39.8,221
3211,Rokycany,48966,24468,24498,42.8,41.6,44.1,655
6214,Rosice,26090,12890,13200,41.7,40.1,43.2,1341
4211,Roudnice nad Labem,32877,16344,16533,42.1,40.6,43.5,841
7206,Rožnov pod Radhoštěm,35183,17281,17902,43.3,41.7,44.8,2038
4212,Rumburk,32795,16348,16447,42,40.6,43.3,736
5213,Rychnov nad Kněžnou,33980,17015,16965,42.1,40.8,43.5,1121
8120,Rýmařov,15338,7693,7645,44.1,42.4,45.8,1732
2123,Sedlčany,22043,10969,11074,43.2,41.8,44.6,264
5107,Semily,25659,12789,12870,43.2,41.6,44.8,1147
2124,Slaný,40380,19978,20402,41.7,40.5,42.9,86
6216,Šlapanice,69537,34348,35189,40.4,39.3,41.5,1368
6215,Slavkov u Brna,23560,11672,11888,40.4,39.3,41.5,1635
3110,Soběslav,21914,10837,11077,43.8,42.5,45,469
4107,Sokolov,75189,37361,37828,42,40.8,43.3,671
7110,Šternberk,24221,11974,12247,42.2,40.8,43.5,1911
3212,Stod,23250,11674,11576,41.9,40.7,43.1,621
3111,Strakonice,45305,22322,22983,42.9,41.6,44.3,442
3213,Stříbro,17050,8605,8445,42.2,41.1,43.2,680
7111,Šumperk,69242,33956,35286,43.3,41.7,44.8,2020
3214,Sušice,24164,11983,12181,44.2,42.8,45.5,574
6111,Světlá nad Sázavou,19759,9836,9923,44.1,42.9,45.3,957
5312,Svitavy,31424,15378,16046,42.5,41.2,43.7,1198
3112,Tábor,80583,39703,40880,43.2,41.8,44.5,477
3215,Tachov,36537,18412,18125,41.5,40.4,42.6,698
5108,Tanvald,20460,10145,10315,43.3,41.8,44.8,787
6112,Telč,12948,6436,6512,43.1,41.5,44.7,1511
4213,Teplice,106068,52004,54064,42.3,40.8,43.7,914
6217,Tišnov,31482,15508,15974,41.5,40.3,42.6,1350
6113,Třebíč,74494,36750,37744,42.8,41.5,44.1,1597
3114,Třeboň,24720,12163,12557,43.9,42.5,45.2,353
3113,Trhové Sviny,19120,9601,9519,41.7,40.8,42.6,281
8121,Třinec,54542,26794,27748,42.8,41.1,44.5,1775
5214,Trutnov,63555,31312,32243,43,41.4,44.6,1210
5109,Turnov,33347,16433,16914,42.9,41.5,44.4,1155
3115,Týn nad Vltavou,14089,7035,7054,41.8,40.7,43,299
7207,Uherské Hradiště,90062,43915,46147,43.3,41.6,44.8,1601
7208,Uherský Brod,52244,25964,26280,43.3,41.6,45,1619
7112,Uničov,22449,11120,11329,42.8,41.2,44.4,1902
4214,Ústí nad Labem,119407,58543,60864,41.9,40.5,43.3,922
5313,Ústí nad Orlicí,26384,13059,13325,42.7,41,44.3,1287
7209,Valašské Klobouky,23141,11666,11475,41.8,40.1,43.5,1449
7210,Valašské Meziříčí,41631,20540,21091,42.3,40.5,44,2046
4215,Varnsdorf,20005,9890,10115,42.3,40.8,43.8,744
6114,Velké Meziříčí,36235,18086,18149,41.2,39.7,42.6,1694
6218,Veselí nad Moravou,37890,18675,19215,43.9,42.2,45.5,1490
3116,Vimperk,17514,8798,8716,42.8,41.5,44.1,426
8122,Vítkov,13330,6673,6657,42.7,41.1,44.3,1953
7211,Vizovice,17079,8450,8629,41.6,40.5,42.6,1457
2125,Vlašim,25885,12839,13046,43.1,41.9,44.4,35
3117,Vodňany,11772,5904,5868,42.2,40.8,43.6,451
2126,Votice,12443,6163,6280,42.8,41.5,44.1,43
5215,Vrchlabí,27712,13732,13980,42.8,41.4,44.2,1228
7212,Vsetín,65707,32362,33345,42.7,41,44.4,2054
6219,Vyškov,52001,25663,26338,42.3,40.9,43.6,1643
5314,Vysoké Mýto,32418,16204,16214,42.4,40.9,43.9,1252
7113,Zábřeh,33178,16266,16912,42.6,41.3,43.9,2011
5315,Žamberk,29495,14751,14744,41.6,40.4,42.7,1261
4216,Žatec,27304,13553,13751,41.6,40.4,42.9,876
6115,Žďár nad Sázavou,42648,21141,21507,42.6,41.2,44,1708
5110,Železný Brod,12182,5974,6208,43.3,41.9,44.6,795
6221,Židlochovice,33522,16640,16882,40.3,38.9,41.8,1376
7213,Zlín,99294,47969,51325,43.5,41.7,45.1,1465
6220,Znojmo,91735,45221,46514,42.2,40.8,43.5,1660
